year,gdp_per_capita,county_code,gdp,gdp_density,county,economy_unit,match_status,gb,year_display
2024,,141102,322.1821,,离石区,亿元,matched,156141102,2024
2024,,141121,129.2001,,文水县,亿元,matched,156141121,2024
2024,,141122,107.483,,交城县,亿元,matched,156141122,2024
2024,,141123,202.4019,,兴县,亿元,matched,156141123,2024
2024,,141124,186.9268,,临县,亿元,matched,156141124,2024
2024,,141125,343.9523,,柳林县,亿元,matched,156141125,2024
2024,,141126,35.8842,,石楼县,亿元,matched,156141126,2024
2024,,141127,93.8487,,岚县,亿元,matched,156141127,2024
2024,,141128,80.209,,方山县,亿元,matched,156141128,2024
2024,,141129,201.0566,,中阳县,亿元,matched,156141129,2024
2024,,141130,58.2437,,交口县,亿元,matched,156141130,2024
2024,,141181,505.5819,,孝义市,亿元,matched,156141181,2024
2024,,141182,376.2709,,汾阳市,亿元,matched,156141182,2024
2024,,150102,,,新城区,亿元,no_data,156150102,2024
2024,,150103,,,回民区,亿元,no_data,156150103,2024
2024,,150104,,,玉泉区,亿元,no_data,156150104,2024
2024,,150105,,,赛罕区,亿元,no_data,156150105,2024
2024,,150121,,,土默特左旗,亿元,no_data,156150121,2024
2024,,150122,,,托克托县,亿元,no_data,156150122,2024
2024,,150123,,,和林格尔县,亿元,no_data,156150123,2024
2024,,150124,,,清水河县,亿元,no_data,156150124,2024
2024,,150125,,,武川县,亿元,no_data,156150125,2024
2024,,150202,,,东河区,亿元,no_data,156150202,2024
2024,,150203,,,昆都仑区,亿元,no_data,156150203,2024
2024,,150204,,,青山区,亿元,no_data,156150204,2024
2024,,150205,,,石拐区,亿元,no_data,156150205,2024
2024,,150206,,,白云鄂博矿区,亿元,no_data,156150206,2024
2024,,150207,,,九原区,亿元,no_data,156150207,2024
2024,,150221,,,土默特右旗,亿元,no_data,156150221,2024
2024,,150222,,,固阳县,亿元,no_data,156150222,2024
2024,,150223,,,达尔罕茂明安联合旗,亿元,no_data,156150223,2024
2024,,150302,,,海勃湾区,亿元,no_data,156150302,2024
2024,,150303,,,海南区,亿元,no_data,156150303,2024
2024,,150304,,,乌达区,亿元,no_data,156150304,2024
2024,,150402,,,红山区,亿元,no_data,156150402,2024
2024,,150403,,,元宝山区,亿元,no_data,156150403,2024
2024,,150404,,,松山区,亿元,no_data,156150404,2024
2024,,150421,122.2743,,阿鲁科尔沁旗,亿元,matched,156150421,2024
2024,,150422,179.7975,,巴林左旗,亿元,matched,156150422,2024
2024,,150423,78.3054,,巴林右旗,亿元,matched,156150423,2024
2024,,150424,114.6225,,林西县,亿元,matched,156150424,2024
2024,,150425,169.6744,,克什克腾旗,亿元,matched,156150425,2024
2024,,150426,194.2085,,翁牛特旗,亿元,matched,156150426,2024
2024,,150428,135.115,,喀喇沁旗,亿元,matched,156150428,2024
2024,,150429,219.0878,,宁城县,亿元,matched,156150429,2024
2024,,150430,191.5974,,敖汉旗,亿元,matched,156150430,2024
2024,,150502,,,科尔沁区,亿元,no_data,156150502,2024
2024,,150521,160.2479,,科尔沁左翼中旗,亿元,matched,156150521,2024
2024,,150522,,,科尔沁左翼后旗,亿元,no_data,156150522,2024
2024,,150523,,,开鲁县,亿元,no_data,156150523,2024
2024,,150524,,,库伦旗,亿元,no_data,156150524,2024
2024,,150525,,,奈曼旗,亿元,no_data,156150525,2024
2024,,150526,,,扎鲁特旗,亿元,no_data,156150526,2024
2024,,150581,,,霍林郭勒市,亿元,no_data,156150581,2024
2024,,150602,1120.8249,,东胜区,亿元,matched,156150602,2024
2024,,150603,,,康巴什区,亿元,no_data,156150603,2024
2024,,150621,522.7946,,达拉特旗,亿元,matched,156150621,2024
2024,,150622,1600.3666,,准格尔旗,亿元,matched,156150622,2024
2024,,150623,280.2926,,鄂托克前旗,亿元,matched,156150623,2024
2024,,150624,556.2766,,鄂托克旗,亿元,matched,156150624,2024
2024,,150625,177.1967,,杭锦旗,亿元,matched,156150625,2024
2024,,150626,602.4582,,乌审旗,亿元,matched,156150626,2024
2024,,150627,1310.3773,,伊金霍洛旗,亿元,matched,156150627,2024
2024,,150702,243.5232,,海拉尔区,亿元,matched,156150702,2024
2024,,150703,,,扎赉诺尔区,亿元,no_data,156150703,2024
2024,,150721,134.8653,,阿荣旗,亿元,matched,156150721,2024
2024,,150722,129.4587,,莫力达瓦达斡尔族自治旗,亿元,matched,156150722,2024
2024,,150723,104.0468,,鄂伦春自治旗,亿元,matched,156150723,2024
2024,,150724,185.7837,,鄂温克族自治旗,亿元,matched,156150724,2024
2024,,150725,150.3025,,陈巴尔虎旗,亿元,matched,156150725,2024
