county_code,pop_total,pop_density,year
131102,545397,924.1926,2024
230805,180051,1097.3089,2024
230804,161498,6007.5074,2024
230803,255377,5232.2559,2024
433130,530742,169.3222,2024
621222,231734,45.9102,2024
621221,257725,153.286,2024
621228,48611,33.9669,2024
621227,212451,78.049,2024
340121,714743,388.1427,2024
621224,190843,64.0775,2024
340124,1035305,441.9786,2024
621223,286382,86.3939,2024
621226,495550,116.1057,2024
340122,900999,413.7756,2024
621225,411470,221.8731,2024
340123,792550,467.2075,2024
540630,11051,0.0949,2024
410482,993513,630.8626,2024
410481,328705,524.0622,2024
632324,41177,6.121,2024
632323,75041,11.3935,2024
411330,418900,218.4963,2024
330324,832866,311.5061,2024
632322,58619,37.6623,2024
361028,118167,95.039,2024
433122,316567,202.0796,2024
361027,314870,233.0097,2024
361026,238630,123.093,2024
330329,248438,140.5585,2024
445103,1270449,1170.0308,2024
361025,367586,152.4836,2024
211281,266430,1014.3239,2024
445102,620401,1914.0114,2024
361024,369155,242.9049,2024
361023,305724,159.9726,2024
361022,244202,143.6388,2024
361021,325870,190.1892,2024
330326,812223,837.3591,2024
330327,865696,850.4998,2024
330328,225599,173.7629,2024
211282,568689,201.999,2024
420281,967519,621.9213,2024
433125,295971,168.6064,2024
433126,134141,104.2595,2024
450903,393869,473.9253,2024
433123,353963,203.5503,2024
450902,713729,1638.4926,2024
433124,305673,275.2573,2024
433127,454815,119.4228,2024
361030,249936,155.9981,2024
621202,593216,127.457,2024
340102,943063,3784.3125,2024
340103,646661,4725.7072,2024
340104,1212507,1844.66,2024
441523,311503,315.0461,2024
441521,833284,472.2036,2024
340827,558803,415.9323,2024
340828,342074,143.9163,2024
360430,373902,242.3404,2024
350628,531377,229.2836,2024
211421,625883,224.7406,2024
350629,162867,127.6774,2024
511724,933332,446.7723,2024
450481,819085,295.6767,2024
511725,1233579,611.909,2024
511722,1070275,251.5346,2024
511723,453170,440.9333,2024
211422,552957,173.3241,2024
360429,293639,434.1202,2024
520201,784340,756.4758,2024
520203,528655,294.0621,2024
520204,605678,198.8374,2024
530481,182367,240.2923,2024
510403,180541,1478.9985,2024
510402,371647,2256.055,2024
610222,99483,65.6175,2024
140110,247202,848.6611,2024
441502,483733,1217.8992,2024
510411,285795,166.345,2024
211403,252654,1513.2039,2024
211402,502748,433.6638,2024
340811,263987,637.2798,2024
211404,273049,271.0183,2024
360428,762034,341.6853,2024
360425,386633,198.8362,2024
360426,164258,191.4948,2024
360423,382860,108.6272,2024
360424,786714,174.3064,2024
350622,435454,424.9001,2024
350623,838963,412.4015,2024
350624,624496,491.099,2024
140121,357375,588.473,2024
350626,197237,907.1904,2024
140122,127110,61.0895,2024
350627,360248,183.8074,2024
140123,111864,86.8664,2024
370215,1227915,665.9093,2024
510421,232321,110.248,2024
510422,221675,67.5138,2024
130324,401937,422.0273,2024
370211,1437733,696.9266,2024
370212,382084,1019.4268,2024
370213,535449,5654.6218,2024
370214,794160,1501.5905,2024
340822,630368,468.5546,2024
340825,551227,269.0522,2024
130321,524633,149.9681,2024
340826,604288,255.1618,2024
130322,598235,497.2193,2024
370285,796288,508.0097,2024
341723,262887,219.4427,2024
341722,96967,68.6468,2024
341721,500891,153.9309,2024
370281,897478,689.6822,2024
370283,1440795,453.9924,2024
140105,935518,3232.4397,2024
140106,576774,5487.5583,2024
140107,613039,4192.9256,2024
532628,432139,81.6158,2024
140108,460553,1560.8777,2024
532627,836832,107.6171,2024
140109,809461,2807.4839,2024
532626,506366,100.6337,2024
532625,389222,145.7259,2024
350203,983445,13293.8933,2024
532624,297425,126.5018,2024
652901,570146,39.543,2024
360483,245332,325.3151,2024
532623,268757,179.7236,2024
652902,481171,33.1401,2024
451381,121132,331.6404,2024
350205,296598,1677.3476,2024
140581,512281,521.4741,2024
532622,496371,128.1811,2024
350206,911570,13325.4287,2024
360481,450488,313.1758,2024
360482,126078,409.2386,2024
210123,336088,154.2243,2024
430822,403486,117.0403,2024
130303,186444,977.6763,2024
430821,640999,183.7871,2024
130304,105509,646.5141,2024
130302,1039105,1437.494,2024
231002,211596,363.3942,2024
231003,246646,186.2733,2024
231004,312731,715.2553,2024
340881,708724,457.1331,2024
231005,245315,700.3316,2024
340882,527636,312.6194,2024
210124,418765,183.8108,2024
130306,299414,287.5697,2024
371121,511035,341.7015,2024
540234,15817,1.7552,2024
340403,622688,2500.7496,2024
540235,19719,2.5059,2024
340404,345038,1278.5631,2024
540236,14906,1.2008,2024
371122,1011184,555.2674,2024
540237,11104,2.8133,2024
340402,203134,663.7463,2024
540230,22015,3.5803,2024
540231,21440,3.6756,2024
540232,23497,0.5398,2024
340405,179622,2651.2886,2024
540233,14582,3.4129,2024
340406,426109,713.4111,2024
710021,449016,195.3992,2024
710020,558885,396.648,2024
710023,1271572,1144.8726,2024
710022,680444,506.8035,2024
330604,788896,578.9815,2024
330602,984408,1848.1333,2024
330603,1113213,1041.9826,2024
210112,452208,561.9253,2024
430811,33193,83.48,2024
210111,505097,645.7698,2024
511702,609921,689.5601,2024
511703,1090703,485.1914,2024
210115,509428,309.2776,2024
210114,735082,1470.7897,2024
440608,445580,476.2532,2024
210113,431951,525.6102,2024
341702,632914,252.465,2024
320803,1058075,718.3949,2024
320804,854306,653.3605,2024
710010,53037,607.4542,2024
710014,1879237,833.9646,2024
710013,207272,58.0811,2024
710012,3989828,1942.4669,2024
710011,801189,287.9256,2024
152529,58235,9.3141,2024
440607,657408,795.8162,2024
440606,2611511,3236.278,2024
440605,2744019,2556.1353,2024
440604,1169865,7632.2696,2024
230184,942176,124.8932,2024
152531,107385,27.7001,2024
230183,623112,70.0221,2024
152530,86548,8.482,2024
430802,490952,225.8789,2024
371103,418255,545.2425,2024
210105,907637,13470.5482,2024
371102,1007812,812.7892,2024
231025,393098,59.2134,2024
210104,845498,8387.0252,2024
210103,977737,16742.6809,2024
210102,714026,11861.9624,2024
710018,2250878,1858.0355,2024
710016,2814777,1263.0729,2024
210106,1077411,3805.047,2024
371581,763006,805.5641,2024
